id	filename	md5	size	state
07cc214a-d752-453b-bd29-c45e036c1725	2050fd37-6f19-43e1-ae09-734fd2603eef.FPKM.txt.gz	b82002dba436433c30b3905ec31cab1f	316939	released
013e1ebc-9bde-4599-b578-e3cd93a957d7	ea99ef5d-8dec-482f-9f7b-9091fd418ff7.FPKM.txt.gz	f12166cad9c1b720ef4944d7b89de1f3	315473	released
1a77975d-b649-47e4-9eaf-c4965bd9b181	13706f92-a84d-40c8-a13f-bf58e540af2e.FPKM.txt.gz	2aa373f4a10302d0d12e5dee2c1fcce5	315997	released
e8a83f38-96f2-4374-92d1-335d246c1fb3	d7439771-f3c0-47d3-94a8-627cbc09d69a.FPKM.txt.gz	87a12d3f9a4d05e05f18f961ffc54970	303581	released
53e5ad6e-490c-4a8c-8f47-94e1e7ceb26e	5c1f2b4d-eb68-49b9-9673-e4c6dc80cd22.FPKM.txt.gz	3ac800f4a898156c586e186d1e720b10	294373	released
c2199a88-aeee-4f64-9f99-f57ea824b92d	8818a1d1-fe57-44be-a563-9fd4fe7418e5.FPKM.txt.gz	fc754877d08fbd721293537be73b4261	307065	released
a8990014-d6bc-4c4a-9889-d4c1a05d0f7f	c12cc9ea-2e8d-4cb2-b47a-111cbefafac8.FPKM.txt.gz	4d7bfff86aa6053b0f0c84b526bb58d0	294908	released
a76291ff-d1b8-4e75-8b5c-918760907475	99c5a29e-181f-4ad1-a6d7-9468e6f53017.FPKM.txt.gz	a613c7ee0b73c5efb9e4557568bcfce7	326218	released
a6cca059-4fc6-4380-9937-4ade275827d6	0a86565c-2be6-4fc3-ad6f-702c8984ee75.FPKM.txt.gz	7c2f3a674a1e2513c000f914cc0349af	320721	released
2af46612-b306-40a8-ba33-d3ff3c0dac27	cd22c022-d3eb-414f-a4f4-5dc08200949a.FPKM.txt.gz	b2c05d376967e063fb79e95533f376c6	328799	released
56c3de63-70c5-493d-9fb5-4c44f442796e	a5969f14-9cbf-424c-b22b-9e0e0ab3761b.FPKM.txt.gz	ad3c9efc6f2bf9b0a511a7dace0cc196	332416	released
